Source ,American Community Survey,,,
Note ,Education Attainment 2015,,,
URL ,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S1501&prodType=table,,,
,,,,
Fips ,Geography ,Years ,Statistics ,Value 
0,United States,2015,Total; Estimate; Population 25 years and over,211462522
18000,Indiana ,2015,Total; Estimate; Population 25 years and over,4316273
18001,"Adams County, Indiana",2015,Total; Estimate; Population 25 years and over,20912
18003,"Allen County, Indiana",2015,Total; Estimate; Population 25 years and over,233222
18005,"Bartholomew County, Indiana",2015,Total; Estimate; Population 25 years and over,53618
18007,"Benton County, Indiana",2015,Total; Estimate; Population 25 years and over,5892
18009,"Blackford County, Indiana",2015,Total; Estimate; Population 25 years and over,8739
18011,"Boone County, Indiana",2015,Total; Estimate; Population 25 years and over,39913
18013,"Brown County, Indiana",2015,Total; Estimate; Population 25 years and over,11036
18015,"Carroll County, Indiana",2015,Total; Estimate; Population 25 years and over,13748
18017,"Cass County, Indiana",2015,Total; Estimate; Population 25 years and over,25838
18019,"Clark County, Indiana",2015,Total; Estimate; Population 25 years and over,77603
18021,"Clay County, Indiana",2015,Total; Estimate; Population 25 years and over,18235
18023,"Clinton County, Indiana",2015,Total; Estimate; Population 25 years and over,21499
18025,"Crawford County, Indiana",2015,Total; Estimate; Population 25 years and over,7389
18027,"Daviess County, Indiana",2015,Total; Estimate; Population 25 years and over,20092
18029,"Dearborn County, Indiana",2015,Total; Estimate; Population 25 years and over,33990
18031,"Decatur County, Indiana",2015,Total; Estimate; Population 25 years and over,17634
18033,"DeKalb County, Indiana",2015,Total; Estimate; Population 25 years and over,28125
18035,"Delaware County, Indiana",2015,Total; Estimate; Population 25 years and over,71099
18037,"Dubois County, Indiana",2015,Total; Estimate; Population 25 years and over,28503
18039,"Elkhart County, Indiana",2015,Total; Estimate; Population 25 years and over,126571
18041,"Fayette County, Indiana",2015,Total; Estimate; Population 25 years and over,16551
18043,"Floyd County, Indiana",2015,Total; Estimate; Population 25 years and over,51455
18045,"Fountain County, Indiana",2015,Total; Estimate; Population 25 years and over,11656
18047,"Franklin County, Indiana",2015,Total; Estimate; Population 25 years and over,15561
