Source ,Indiana Department of Education,,,,,
Note,High School Graduation Rate ,,,,,
URL ,http://www.doe.in.gov/accountability/find-school-and-corporation-data-reports,,,,,
,,,,,,
FIPS,Year,Corp ID,Corp Name,Cohort N,Grad N,Grad Rate
18001,2016,15,Adams Central Community Schools,87,86,98.8505747
18001,2016,25,North Adams Community Schools,187,166,88.7700535
18001,2016,35,South Adams Schools,81,73,90.1234568
18003,2016,125,M S D Southwest Allen County Schls,561,542,96.6131907
18003,2016,225,Northwest Allen County Schools,512,495,96.6796875
18003,2016,235,Fort Wayne Community Schools,1865,1664,89.2225201
18003,2016,255,East Allen County Schools,819,752,91.8192918
18005,2016,365,Bartholomew Con School Corp,799,719,89.9874844
18005,2016,370,Flat Rock-Hawcreek School Corp,56,56,100
18007,2016,395,Benton Community School Corp,111,104,93.6936937
18009,2016,515,Blackford County Schools,136,125,91.9117647
18011,2016,615,Western Boone Co Com Sch Dist,143,137,95.8041958
18011,2016,630,Zionsville Community Schools,455,445,97.8021978
18011,2016,665,Lebanon Community School Corp,243,227,93.4156379
18013,2016,670,Brown County School Corporation,144,143,99.3055556
18015,2016,750,Carroll Consolidated School Corp,59,56,94.9152542
18015,2016,755,Delphi Community School Corp,107,96,89.7196262
18017,2016,775,Pioneer Regional School Corp,71,63,88.7323944
18017,2016,815,Southeastern School Corp,130,126,96.9230769
18017,2016,875,Logansport Community Sch Corp,278,262,94.2446043
18019,2016,940,West Clark Community Schools,337,311,92.2848665
18019,2016,1000,Clarksville Community School Corp,92,89,96.7391304
18019,2016,1010,Greater Clark County Schools,726,682,93.9393939
18021,2016,1125,Clay Community Schools,268,249,92.9104478
18023,2016,1150,Clinton Central School Corporation,75,73,97.3333333
18023,2016,1160,Clinton Prairie School Corporation,69,66,95.6521739
18023,2016,1170,Community Schools of Frankfort,232,213,91.8103448
18023,2016,1180,Rossville Con School District,74,74,100
18025,2016,1300,Crawford County Community Sch Corp,100,86,86
18027,2016,1315,Barr-Reeve Community Schools Inc,46,44,95.6521739
18027,2016,1375,North Daviess Com Schools,72,67,93.0555556
18027,2016,1405,Washington Community Schools,166,159,95.7831325
18029,2016,1560,Sunman-Dearborn Com Sch Corp,308,293,95.1298701
18029,2016,1600,South Dearborn Community Sch Corp,224,200,89.2857143
18029,2016,1620,Lawrenceburg Community School Corp,146,142,97.260274
18031,2016,1655,Decatur County Community Schools,158,148,93.6708861
18031,2016,1730,Greensburg Community Schools,140,139,99.2857143
29063,2016,1805,DeKalb Co Eastern Com Sch Dist,131,124,94.6564885
29063,2016,1820,Garrett-Keyser-Butler Com Sch Corp,139,135,97.1223022
29063,2016,1835,DeKalb Co Ctl United Sch Dist,274,246,89.7810219
18035,2016,1875,Delaware Community School Corp,192,181,94.2708333
18035,2016,1885,Wes-Del Community Schools,74,73,98.6486486
18035,2016,1895,Liberty-Perry Community Sch Corp,79,78,98.7341772
18035,2016,1900,Cowan Community School Corp,47,44,93.6170213
18035,2016,1910,Yorktown Community Schools,159,156,98.1132075
18035,2016,1940,Daleville Community Schools,60,59,98.3333333
18035,2016,1970,Muncie Community Schools,322,297,92.2360248
18037,2016,2040,Northeast Dubois Co Sch Corp,71,64,90.1408451
18037,2016,2100,Southeast Dubois Co Sch Corp,106,103,97.1698113
18037,2016,2110,Southwest Dubois Co Sch Corp,127,117,92.1259843
18037,2016,2120,Greater Jasper Consolidated Schs,286,275,96.1538462
18039,2016,2155,Fairfield Community Schools,136,126,92.6470588
18039,2016,2260,Baugo Community Schools,141,134,95.035461
18039,2016,2270,Concord Community Schools,371,333,89.7574124
18039,2016,2275,Middlebury Community Schools,342,315,92.1052632
18039,2016,2285,Wa-Nee Community Schools,212,194,91.509434
18039,2016,2305,Elkhart Community Schools,785,696,88.6624204
18039,2016,2315,Goshen Community Schools,455,401,88.1318681
18041,2016,2395,Fayette County School Corporation,251,228,90.8366534
18043,2016,2400,New Albany-Floyd Co Con Sch,900,843,93.6666667
18045,2016,2435,Attica Consolidated School Corp,61,57,93.442623
18045,2016,2440,Covington Community School Corp,70,66,94.2857143
18045,2016,2455,Southeast Fountain School Corp,99,93,93.9393939
18047,2016,2475,Franklin County Community Sch Corp,182,167,91.7582418
18049,2016,2645,Rochester Community School Corp,134,130,97.0149254
18049,2016,2650,Caston School Corporation,62,55,88.7096774
18051,2016,2725,East Gibson School Corporation,52,51,98.0769231
18051,2016,2735,North Gibson School Corp,164,144,87.804878
18051,2016,2765,South Gibson School Corporation,170,155,91.1764706
18053,2016,2815,Eastbrook Community Sch Corp,130,127,97.6923077
18053,2016,2825,Madison-Grant United School Corp,96,92,95.8333333
18053,2016,2855,Mississinewa Community School Corp,171,165,96.4912281
18053,2016,2865,Marion Community Schools,234,227,97.008547
18055,2016,2920,Bloomfield School District,65,63,96.9230769
18055,2016,2940,Eastern Greene Schools,90,80,88.8888889
18055,2016,2950,Linton-Stockton School Corporation,83,81,97.5903614
18055,2016,2960,M S D Shakamak Schools,48,45,93.75
18055,2016,2980,White River Valley School District,65,59,90.7692308
18057,2016,3005,Hamilton Southeastern Schools,1428,1374,96.2184874
18057,2016,3025,Hamilton Heights School Corp,158,151,95.5696203
18057,2016,3030,Westfield-Washington Schools,436,425,97.4770642
18057,2016,3055,Sheridan Community Schools,84,76,90.4761905
18057,2016,3060,Carmel Clay Schools,1218,1175,96.4696223
18057,2016,3070,Noblesville Schools,602,574,95.3488372
18059,2016,3115,Southern Hancock Co Com Sch Corp,292,283,96.9178082
18059,2016,3125,Greenfield-Central Com Schools,332,302,90.9638554
18059,2016,3135,Mt Vernon Community School Corp,314,298,94.9044586
18059,2016,3145,Eastern Hancock Co Com Sch Corp,89,83,93.258427
18061,2016,3160,Lanesville Community School Corp,58,57,98.2758621
18061,2016,3180,North Harrison Com School Corp,148,141,95.2702703
18061,2016,3190,South Harrison Com Schools,221,204,92.3076923
18063,2016,3295,North West Hendricks Schools,144,143,99.3055556
18063,2016,3305,Brownsburg Community School Corp,559,553,98.9266547
18063,2016,3315,Avon Community School Corp,704,689,97.8693182
18063,2016,3325,Danville Community School Corp,202,192,95.049505
18063,2016,3330,Plainfield Community School Corp,355,348,98.028169
18063,2016,3335,Mill Creek Community Sch Corp,114,111,97.3684211
18065,2016,3405,Blue River Valley Schools,34,30,88.2352941
18065,2016,3415,South Henry School Corp,54,54,100
18065,2016,3435,Shenandoah School Corporation,86,82,95.3488372
18065,2016,3445,New Castle Community School Corp,256,244,95.3125
18065,2016,3455,C A Beard Memorial School Corp,104,100,96.1538462
18067,2016,3460,Taylor Community School Corp,102,84,82.3529412
18067,2016,3470,Northwestern School Corp,107,104,97.1962617
18067,2016,3480,Eastern Howard School Corporation,88,87,98.8636364
18067,2016,3490,Western School Corp,191,184,96.3350785
18067,2016,3500,Kokomo School Corporation,449,370,82.4053452
18069,2016,3625,Huntington Co Com Sch Corp,342,312,91.2280702
18071,2016,3640,Medora Community School Corp,28,26,92.8571429
18071,2016,3675,Seymour Community Schools,294,276,93.877551
18071,2016,3695,Brownstown Cnt Com Sch Corp,141,137,97.1631206
18071,2016,3710,Crothersville Community Schools,30,27,90
18073,2016,3785,Kankakee Valley School Corp,242,229,94.6280992
18073,2016,3815,Rensselaer Central School Corp,116,111,95.6896552
18075,2016,3945,Jay School Corporation,299,281,93.9799331
18077,2016,3995,Madison Consolidated Schools,228,205,89.9122807
18077,2016,4000,Southwestern-Jefferson Co Con,81,76,93.8271605
18079,2016,4015,Jennings County School Corporation,312,294,94.2307692
18081,2016,4145,Clark-Pleasant Community Sch Corp,433,406,93.7644342
18081,2016,4205,Center Grove Community School Corp,559,529,94.6332737
18081,2016,4215,Edinburgh Community School Corp,68,65,95.5882353
18081,2016,4225,Franklin Community School Corp,365,345,94.5205479
18081,2016,4245,Greenwood Community Sch Corp,257,234,91.0505837
18081,2016,4255,Nineveh-Hensley-Jackson United,124,118,95.1612903
18083,2016,4315,North Knox School Corp,78,78,100
18083,2016,4325,South Knox School Corp,77,75,97.4025974
18083,2016,4335,Vincennes Community School Corp,168,163,97.0238095
18085,2016,4345,Wawasee Community School Corp,224,197,87.9464286
18085,2016,4415,Warsaw Community Schools,503,466,92.6441352
18085,2016,4445,Tippecanoe Valley School Corp,148,141,95.2702703
18085,2016,4455,Whitko Community School Corp,119,110,92.4369748
18087,2016,4515,Prairie Heights Community Sch Corp,116,110,94.8275862
18087,2016,4525,Westview School Corporation,100,96,96
18087,2016,4535,Lakeland School Corporation,154,131,85.0649351
18089,2016,4580,Hanover Community School Corp,156,149,95.5128205
18089,2016,4590,River Forest Community Sch Corp,105,79,75.2380952
18089,2016,4600,Merrillville Community School Corp,522,457,87.5478927
18089,2016,4615,Lake Central School Corporation,758,724,95.5145119
18089,2016,4645,Tri-Creek School Corporation,264,259,98.1060606
18089,2016,4650,Lake Ridge New Tech Schools,141,136,96.4539007
