Source ,American Community Survey ,,,
Note ,Household 2015 under 18,,,
URL,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S1101&prodType=table,,,
,,,,
Fips ,Geography ,Years,Statistics ,Value 
0,United States ,2015,Percentage for households with under 18 years old,32.3
18000,Indiana,2015,Percentage for households with under 18 years old,32.3
18001,"Adams County, Indiana",2015,Percentage for households with under 18 years old,36.9
18003,"Allen County, Indiana",2015,Percentage for households with under 18 years old,33.5
18005,"Bartholomew County, Indiana",2015,Percentage for households with under 18 years old,32.9
18007,"Benton County, Indiana",2015,Percentage for households with under 18 years old,30.8
18009,"Blackford County, Indiana",2015,Percentage for households with under 18 years old,30.9
18011,"Boone County, Indiana",2015,Percentage for households with under 18 years old,37.3
18013,"Brown County, Indiana",2015,Percentage for households with under 18 years old,27.6
18015,"Carroll County, Indiana",2015,Percentage for households with under 18 years old,31
18017,"Cass County, Indiana",2015,Percentage for households with under 18 years old,32.9
18019,"Clark County, Indiana",2015,Percentage for households with under 18 years old,31.2
18021,"Clay County, Indiana",2015,Percentage for households with under 18 years old,34.9
18023,"Clinton County, Indiana",2015,Percentage for households with under 18 years old,33.5
18025,"Crawford County, Indiana",2015,Percentage for households with under 18 years old,26.2
18027,"Daviess County, Indiana",2015,Percentage for households with under 18 years old,37
18029,"Dearborn County, Indiana",2015,Percentage for households with under 18 years old,32.7
18031,"Decatur County, Indiana",2015,Percentage for households with under 18 years old,33.6
18033,"DeKalb County, Indiana",2015,Percentage for households with under 18 years old,31.4
18035,"Delaware County, Indiana",2015,Percentage for households with under 18 years old,26.7
18037,"Dubois County, Indiana",2015,Percentage for households with under 18 years old,32.9
18039,"Elkhart County, Indiana",2015,Percentage for households with under 18 years old,37.7
18041,"Fayette County, Indiana",2015,Percentage for households with under 18 years old,31.2
18043,"Floyd County, Indiana",2015,Percentage for households with under 18 years old,32
18045,"Fountain County, Indiana",2015,Percentage for households with under 18 years old,28.2
18047,"Franklin County, Indiana",2015,Percentage for households with under 18 years old,35.2
18049,"Fulton County, Indiana",2015,Percentage for households with under 18 years old,31.5
18051,"Gibson County, Indiana",2015,Percentage for households with under 18 years old,31.7
18053,"Grant County, Indiana",2015,Percentage for households with under 18 years old,28.8
18055,"Greene County, Indiana",2015,Percentage for households with under 18 years old,29.8
18057,"Hamilton County, Indiana",2015,Percentage for households with under 18 years old,42.5
18059,"Hancock County, Indiana",2015,Percentage for households with under 18 years old,34.3
18061,"Harrison County, Indiana",2015,Percentage for households with under 18 years old,32.6
18063,"Hendricks County, Indiana",2015,Percentage for households with under 18 years old,38.8
18065,"Henry County, Indiana",2015,Percentage for households with under 18 years old,28.9
18067,"Howard County, Indiana",2015,Percentage for households with under 18 years old,29.8
18069,"Huntington County, Indiana",2015,Percentage for households with under 18 years old,29.4
18071,"Jackson County, Indiana",2015,Percentage for households with under 18 years old,33.9
18073,"Jasper County, Indiana",2015,Percentage for households with under 18 years old,34.9
18075,"Jay County, Indiana",2015,Percentage for households with under 18 years old,30.8
18077,"Jefferson County, Indiana",2015,Percentage for households with under 18 years old,33.4
18079,"Jennings County, Indiana",2015,Percentage for households with under 18 years old,32.9
18081,"Johnson County, Indiana",2015,Percentage for households with under 18 years old,37.5
18083,"Knox County, Indiana",2015,Percentage for households with under 18 years old,30.2
18085,"Kosciusko County, Indiana",2015,Percentage for households with under 18 years old,33.4
18087,"LaGrange County, Indiana",2015,Percentage for households with under 18 years old,40.9
18089,"Lake County, Indiana",2015,Percentage for households with under 18 years old,33.5
18091,"LaPorte County, Indiana",2015,Percentage for households with under 18 years old,29.4
18093,"Lawrence County, Indiana",2015,Percentage for households with under 18 years old,31.5
18095,"Madison County, Indiana",2015,Percentage for households with under 18 years old,30.7
18097,"Marion County, Indiana",2015,Percentage for households with under 18 years old,30.6
18099,"Marshall County, Indiana",2015,Percentage for households with under 18 years old,32.9
18101,"Martin County, Indiana",2015,Percentage for households with under 18 years old,27.2
18103,"Miami County, Indiana",2015,Percentage for households with under 18 years old,31.6
18105,"Monroe County, Indiana",2015,Percentage for households with under 18 years old,23.2
18107,"Montgomery County, Indiana",2015,Percentage for households with under 18 years old,32.8
18109,"Morgan County, Indiana",2015,Percentage for households with under 18 years old,33.9
18111,"Newton County, Indiana",2015,Percentage for households with under 18 years old,28.3
18113,"Noble County, Indiana",2015,Percentage for households with under 18 years old,34.7
18115,"Ohio County, Indiana",2015,Percentage for households with under 18 years old,27.5
18117,"Orange County, Indiana",2015,Percentage for households with under 18 years old,31.4
18119,"Owen County, Indiana",2015,Percentage for households with under 18 years old,29.6
18121,"Parke County, Indiana",2015,Percentage for households with under 18 years old,26.6
18123,"Perry County, Indiana",2015,Percentage for households with under 18 years old,27
18125,"Pike County, Indiana",2015,Percentage for households with under 18 years old,26
18127,"Porter County, Indiana",2015,Percentage for households with under 18 years old,35.1
18129,"Posey County, Indiana",2015,Percentage for households with under 18 years old,29.6
18131,"Pulaski County, Indiana",2015,Percentage for households with under 18 years old,29.5
18133,"Putnam County, Indiana",2015,Percentage for households with under 18 years old,31.1
18135,"Randolph County, Indiana",2015,Percentage for households with under 18 years old,30.5
18137,"Ripley County, Indiana",2015,Percentage for households with under 18 years old,33.3
18139,"Rush County, Indiana",2015,Percentage for households with under 18 years old,33.2
18141,"St. Joseph County, Indiana",2015,Percentage for households with under 18 years old,30.8
18143,"Scott County, Indiana",2015,Percentage for households with under 18 years old,34
18145,"Shelby County, Indiana",2015,Percentage for households with under 18 years old,33.8
18147,"Spencer County, Indiana",2015,Percentage for households with under 18 years old,29.8
18149,"Starke County, Indiana",2015,Percentage for households with under 18 years old,31.2
18151,"Steuben County, Indiana",2015,Percentage for households with under 18 years old,29.6
18153,"Sullivan County, Indiana",2015,Percentage for households with under 18 years old,31.1
18155,"Switzerland County, Indiana",2015,Percentage for households with under 18 years old,35.8
18157,"Tippecanoe County, Indiana",2015,Percentage for households with under 18 years old,28.3
18159,"Tipton County, Indiana",2015,Percentage for households with under 18 years old,30.4
18161,"Union County, Indiana",2015,Percentage for households with under 18 years old,29.8
18163,"Vanderburgh County, Indiana",2015,Percentage for households with under 18 years old,29.5
18165,"Vermillion County, Indiana",2015,Percentage for households with under 18 years old,27.8
18167,"Vigo County, Indiana",2015,Percentage for households with under 18 years old,28.3
18169,"Wabash County, Indiana",2015,Percentage for households with under 18 years old,29.6
18171,"Warren County, Indiana",2015,Percentage for households with under 18 years old,31
18173,"Warrick County, Indiana",2015,Percentage for households with under 18 years old,34
18175,"Washington County, Indiana",2015,Percentage for households with under 18 years old,33.4
18177,"Wayne County, Indiana",2015,Percentage for households with under 18 years old,30.7
18179,"Wells County, Indiana",2015,Percentage for households with under 18 years old,30.9
18181,"White County, Indiana",2015,Percentage for households with under 18 years old,29.8
18183,"Whitley County, Indiana",2015,Percentage for households with under 18 years old,31.5
