Source ,Bureau of Economic Analysis/ America Community Survey ,,,
Note ,Per Capita Personal Income/Median Household Income,,,
URL ,https://bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=7#reqid=70&step=30&isuri=1&7022=20&7023=7&7024=non-industry&7033=-1&7025=4&7026=xx&7027=2015&7001=720&7028=3&7031=18000&7040=-1&7083=levels&7029=20&7090=70,,,
,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_B19013&prodType=table(Median Household Income in the past 12 months),,,
,,,,
Fips ,Geography,Years ,Statistics ,Value 
0,United States ,2015,Per capita personal income (dollars) 2,48112
18000,Indiana,2015,Per capita personal income (dollars) 2,41940
18001,"Adams, IN",2015,Per capita personal income (dollars) 2,34885
18003,"Allen, IN",2015,Per capita personal income (dollars) 2,41528
18005,"Bartholomew, IN",2015,Per capita personal income (dollars) 2,45575
18007,"Benton, IN",2015,Per capita personal income (dollars) 2,35402
18009,"Blackford, IN",2015,Per capita personal income (dollars) 2,35447
18011,"Boone, IN",2015,Per capita personal income (dollars) 2,62603
18013,"Brown, IN",2015,Per capita personal income (dollars) 2,41406
18015,"Carroll, IN",2015,Per capita personal income (dollars) 2,38695
18017,"Cass, IN",2015,Per capita personal income (dollars) 2,34916
18019,"Clark, IN",2015,Per capita personal income (dollars) 2,40732
18021,"Clay, IN",2015,Per capita personal income (dollars) 2,34300
18023,"Clinton, IN",2015,Per capita personal income (dollars) 2,34675
18025,"Crawford, IN",2015,Per capita personal income (dollars) 2,32287
18027,"Daviess, IN",2015,Per capita personal income (dollars) 2,38167
18029,"Dearborn, IN",2015,Per capita personal income (dollars) 2,41953
18031,"Decatur, IN",2015,Per capita personal income (dollars) 2,38095
18033,"DeKalb, IN",2015,Per capita personal income (dollars) 2,37945
18035,"Delaware, IN",2015,Per capita personal income (dollars) 2,32896
18037,"Dubois, IN",2015,Per capita personal income (dollars) 2,50943
18039,"Elkhart, IN",2015,Per capita personal income (dollars) 2,39882
18041,"Fayette, IN",2015,Per capita personal income (dollars) 2,35453
18043,"Floyd, IN",2015,Per capita personal income (dollars) 2,48815
18045,"Fountain, IN",2015,Per capita personal income (dollars) 2,34857
18047,"Franklin, IN",2015,Per capita personal income (dollars) 2,41749
18049,"Fulton, IN",2015,Per capita personal income (dollars) 2,37464
18051,"Gibson, IN",2015,Per capita personal income (dollars) 2,40172
18053,"Grant, IN",2015,Per capita personal income (dollars) 2,36715
18055,"Greene, IN",2015,Per capita personal income (dollars) 2,35806
18057,"Hamilton, IN",2015,Per capita personal income (dollars) 2,64654
18059,"Hancock, IN",2015,Per capita personal income (dollars) 2,43941
18061,"Harrison, IN",2015,Per capita personal income (dollars) 2,38166
18063,"Hendricks, IN",2015,Per capita personal income (dollars) 2,43345
18065,"Henry, IN",2015,Per capita personal income (dollars) 2,33589
18067,"Howard, IN",2015,Per capita personal income (dollars) 2,37356
18069,"Huntington, IN",2015,Per capita personal income (dollars) 2,37225
18071,"Jackson, IN",2015,Per capita personal income (dollars) 2,39645
18073,"Jasper, IN",2015,Per capita personal income (dollars) 2,41677
18075,"Jay, IN",2015,Per capita personal income (dollars) 2,39662
18077,"Jefferson, IN",2015,Per capita personal income (dollars) 2,38536
18079,"Jennings, IN",2015,Per capita personal income (dollars) 2,34730
18081,"Johnson, IN",2015,Per capita personal income (dollars) 2,43161
18083,"Knox, IN",2015,Per capita personal income (dollars) 2,41234
18085,"Kosciusko, IN",2015,Per capita personal income (dollars) 2,44864
18087,"Lagrange, IN",2015,Per capita personal income (dollars) 2,34150
18089,"Lake, IN",2015,Per capita personal income (dollars) 2,39896
18091,"LaPorte, IN",2015,Per capita personal income (dollars) 2,37827
18093,"Lawrence, IN",2015,Per capita personal income (dollars) 2,36058
18095,"Madison, IN",2015,Per capita personal income (dollars) 2,35328
18097,"Marion, IN",2015,Per capita personal income (dollars) 2,47508
18099,"Marshall, IN",2015,Per capita personal income (dollars) 2,36958
18101,"Martin, IN",2015,Per capita personal income (dollars) 2,38788
18103,"Miami, IN",2015,Per capita personal income (dollars) 2,31097
18105,"Monroe, IN",2015,Per capita personal income (dollars) 2,35335
18107,"Montgomery, IN",2015,Per capita personal income (dollars) 2,38092
18109,"Morgan, IN",2015,Per capita personal income (dollars) 2,39299
18111,"Newton, IN",2015,Per capita personal income (dollars) 2,37437
18113,"Noble, IN",2015,Per capita personal income (dollars) 2,35578
18115,"Ohio, IN",2015,Per capita personal income (dollars) 2,36368
18117,"Orange, IN",2015,Per capita personal income (dollars) 2,33308
18119,"Owen, IN",2015,Per capita personal income (dollars) 2,34287
18121,"Parke, IN",2015,Per capita personal income (dollars) 2,31434
18123,"Perry, IN",2015,Per capita personal income (dollars) 2,35344
18125,"Pike, IN",2015,Per capita personal income (dollars) 2,35617
18127,"Porter, IN",2015,Per capita personal income (dollars) 2,46501
18129,"Posey, IN",2015,Per capita personal income (dollars) 2,44674
18131,"Pulaski, IN",2015,Per capita personal income (dollars) 2,38707
18133,"Putnam, IN",2015,Per capita personal income (dollars) 2,33264
18135,"Randolph, IN",2015,Per capita personal income (dollars) 2,35614
18137,"Ripley, IN",2015,Per capita personal income (dollars) 2,39492
18139,"Rush, IN",2015,Per capita personal income (dollars) 2,39475
18141,"St. Joseph, IN",2015,Per capita personal income (dollars) 2,43040
18143,"Scott, IN",2015,Per capita personal income (dollars) 2,34442
18145,"Shelby, IN",2015,Per capita personal income (dollars) 2,38511
18147,"Spencer, IN",2015,Per capita personal income (dollars) 2,41437
18149,"Starke, IN",2015,Per capita personal income (dollars) 2,30693
18151,"Steuben, IN",2015,Per capita personal income (dollars) 2,37638
18153,"Sullivan, IN",2015,Per capita personal income (dollars) 2,31546
18155,"Switzerland, IN",2015,Per capita personal income (dollars) 2,28951
18157,"Tippecanoe, IN",2015,Per capita personal income (dollars) 2,34725
18159,"Tipton, IN",2015,Per capita personal income (dollars) 2,40280
18161,"Union, IN",2015,Per capita personal income (dollars) 2,33714
18163,"Vanderburgh, IN",2015,Per capita personal income (dollars) 2,40875
18165,"Vermillion, IN",2015,Per capita personal income (dollars) 2,34742
18167,"Vigo, IN",2015,Per capita personal income (dollars) 2,34922
18169,"Wabash, IN",2015,Per capita personal income (dollars) 2,39447
18171,"Warren, IN",2015,Per capita personal income (dollars) 2,40483
18173,"Warrick, IN",2015,Per capita personal income (dollars) 2,48593
18175,"Washington, IN",2015,Per capita personal income (dollars) 2,35615
18177,"Wayne, IN",2015,Per capita personal income (dollars) 2,36494
18179,"Wells, IN",2015,Per capita personal income (dollars) 2,37823
18181,"White, IN",2015,Per capita personal income (dollars) 2,38545
18183,"Whitley, IN",2015,Per capita personal income (dollars) 2,39145
0,United States ,2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),53889
18000,Indiana,2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),49255
18001,"Adams, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),48188
18003,"Allen, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),49092
18005,"Bartholomew, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),55050
